temperature,humidity,co2,crop_type,crop_stage,risk_score
29.225555,79.609233,1267.423042,cucumber,vegetative,0.094253
25.832398,63.771445,823.871159,capsicum,vegetative,0.0
16.649835,55.719877,1061.18764,tomato,vegetative,0.12995
20.154578,66.357238,1163.418685,tomato,flowering,0.007841
19.416833,60.921049,830.110352,lettuce,fruiting,0.0
15.252651,44.051427,1624.058075,cucumber,vegetative,0.665156
18.38124,69.855598,855.845536,lettuce,fruiting,0.0
26.266156,73.081609,872.420255,cucumber,flowering,0.004136
31.63368,65.458583,1175.53044,capsicum,fruiting,0.172346
39.873146,33.246053,1759.864389,tomato,fruiting,1.0
20.944319,68.351778,747.687893,strawberry,flowering,0.007027
36.904833,40.94171,1583.06115,capsicum,vegetative,0.620392
24.86293,71.863538,1076.680719,tomato,fruiting,0.0
20.131282,69.999368,731.772546,strawberry,fruiting,0.0
20.643233,76.35855,1023.79495,tomato,fruiting,0.015111
20.471505,64.56918,1008.463772,capsicum,fruiting,0.008698
36.793931,93.760132,1647.218344,capsicum,fruiting,0.858059
41.899827,57.538605,301.713052,cucumber,flowering,0.952332
24.275842,68.535056,837.223599,strawberry,vegetative,0.012348
25.10638,53.641888,1090.128495,lettuce,vegetative,0.232527
12.836296,54.85999,1466.81043,cucumber,flowering,0.806349
19.915755,60.49128,750.33924,cucumber,vegetative,0.216122
24.154588,64.117434,1046.573481,tomato,flowering,0.02871
20.41055,62.458161,1193.153923,strawberry,flowering,0.108952
14.32801,75.992545,796.65967,strawberry,fruiting,0.040362
20.213465,64.72913,736.526307,lettuce,fruiting,0.000148
24.704139,70.023475,1004.526957,capsicum,fruiting,0.0
16.32697,63.052291,803.233578,lettuce,flowering,0.007438
23.927913,86.91066,874.7615,cucumber,flowering,0.002658
10.639074,43.762298,1483.435375,cucumber,fruiting,0.891268
10.0,91.507699,1516.700194,lettuce,fruiting,0.739401
18.628015,58.660445,592.758523,lettuce,fruiting,0.093543
24.440411,68.210396,876.402782,tomato,fruiting,0.001227
16.868341,65.020711,720.234591,lettuce,fruiting,0.003805
26.855348,71.513316,1051.891054,tomato,vegetative,0.022231
10.0,94.76663,365.280886,strawberry,vegetative,0.59945
19.142622,75.543249,818.358093,tomato,vegetative,0.005867
26.983031,62.119153,1171.905461,capsicum,vegetative,0.010376
15.922384,37.761457,302.476005,cucumber,flowering,0.986251
24.577174,68.219036,919.298157,capsicum,flowering,0.0
10.018996,82.678746,767.760154,strawberry,fruiting,0.284871
30.608333,71.783664,1429.856601,tomato,fruiting,0.276162
32.371842,84.731279,1293.921249,cucumber,vegetative,0.170358
16.039918,66.988907,894.421347,strawberry,vegetative,0.0
18.363395,64.906498,964.68283,strawberry,flowering,0.008384
15.821789,63.010534,743.57912,lettuce,vegetative,0.012891
18.231216,87.895185,1217.895183,cucumber,vegetative,0.13998
21.320818,67.947164,1047.572418,lettuce,flowering,0.072151
19.421041,75.854696,1265.548285,capsicum,vegetative,0.065635
17.328062,69.536971,897.344522,lettuce,flowering,0.0
14.290386,66.356861,1110.543627,strawberry,fruiting,0.079927
21.243813,64.213053,968.480023,tomato,vegetative,0.0
26.396025,66.287027,1163.885865,tomato,vegetative,0.0
27.682717,82.3532,947.549937,cucumber,fruiting,0.0
36.439536,99.353271,1732.150264,capsicum,vegetative,0.788743
17.581166,67.951606,639.218189,capsicum,flowering,0.246033
23.39225,61.634794,928.75318,capsicum,fruiting,0.0
10.0,99.791784,1475.646145,lettuce,flowering,0.916099
20.501404,68.134454,863.648002,capsicum,vegetative,0.0
28.037254,73.434001,690.075325,strawberry,fruiting,0.140442
21.32448,67.253646,895.513362,capsicum,vegetative,0.0
19.520758,60.386996,928.063077,lettuce,flowering,0.019888
26.235821,70.717035,882.160566,tomato,flowering,0.00837
23.401521,50.402466,1042.739673,tomato,fruiting,0.135591
24.92512,66.68798,912.872317,tomato,flowering,0.018412
20.848282,69.800278,1119.827735,capsicum,fruiting,0.0
40.250117,97.452343,1793.198255,capsicum,flowering,1.0
15.823897,72.588363,818.605944,tomato,vegetative,0.048353
22.581241,57.954457,913.687694,capsicum,flowering,0.001865
13.080032,90.633553,480.37267,capsicum,flowering,0.855324
20.231479,68.918472,986.967603,lettuce,fruiting,0.0
24.192786,63.691427,1027.86901,tomato,fruiting,0.00901
17.155267,68.994079,807.585204,lettuce,fruiting,0.017457
11.071177,92.280265,550.227141,tomato,vegetative,0.525508
20.560943,79.317726,973.187732,tomato,fruiting,0.004764
